,um,reflectance,uncertainty
380,2.6025,0.003997,7.5e-05
381,2.6075,0.003936,0.000127
382,2.6125,0.003961,9.3e-05
383,2.6175,0.003969,9.3e-05
384,2.6225,0.00398,5.9e-05
385,2.6275,0.004073,3.6e-05
386,2.6325,0.004042,6.4e-05
387,2.6375,0.004059,0.0001
388,2.6425,0.004088,8.5e-05
389,2.6475,0.004022,7e-05
390,2.6525,0.003992,4.9e-05
391,2.6575,0.00394,9.5e-05
392,2.6625,0.003866,9.5e-05
393,2.6675,0.003932,0.000149
394,2.6725,0.003958,0.000154
395,2.6775,0.003942,0.000117
396,2.6825,0.003906,0.00013
397,2.6875,0.003819,0.000152
398,2.6925,0.003813,0.000156
399,2.6975,0.003751,0.000154
400,2.7025,0.003745,0.000137
401,2.7075,0.003743,0.000138
402,2.7125,0.003698,8.6e-05
403,2.7175,0.003652,7.9e-05
404,2.7225,0.003625,8.6e-05
405,2.7275,0.003584,7.6e-05
406,2.7325,0.003545,8.7e-05
407,2.7375,0.003491,7.6e-05
408,2.7425,0.003415,7.4e-05
409,2.7475,0.003331,9.8e-05
410,2.7525,0.003342,9.2e-05
411,2.7575,0.003311,0.000125
412,2.7625,0.003273,0.000119
413,2.7675,0.00326,9.4e-05
414,2.7725,0.003153,7.5e-05
415,2.7775,0.003037,0.000103
416,2.7825,0.002967,6.7e-05
417,2.7875,0.00288,9.1e-05
418,2.7925,0.002885,5.8e-05
419,2.7975,0.002882,2e-05
420,2.8025,0.00276,6.1e-05
421,2.8075,0.002683,4.2e-05
422,2.8125,0.002587,5.4e-05
423,2.8175,0.002559,2.2e-05
424,2.8225,0.002489,2.2e-05
425,2.8275,0.002374,2.2e-05
426,2.8325,0.002334,1.5e-05
427,2.8375,0.002267,6.4e-05
428,2.8425,0.002228,4.7e-05
429,2.8475,0.002156,3.4e-05
430,2.8525,0.002102,1.1e-05
431,2.8575,0.002083,8e-05
432,2.8625,0.002032,9e-05
433,2.8675,0.002012,7e-05
434,2.8725,0.001988,3.9e-05
435,2.8775,0.001966,4.6e-05
436,2.8825,0.001953,3.3e-05
437,2.8875,0.001881,4.5e-05
438,2.8925,0.001864,1.8e-05
439,2.8975,0.001873,1.1e-05
440,2.9025,0.001806,5.7e-05
441,2.9075,0.001781,2.5e-05
442,2.9125,0.001774,1.1e-05
443,2.9175,0.001796,1.3e-05
444,2.9225,0.001807,6.8e-05
445,2.9275,0.001734,9.5e-05
446,2.9325,0.001606,6.3e-05
447,2.9375,0.00151,5.3e-05
448,2.9425,0.001499,4.1e-05
449,2.9475,0.001537,4.8e-05
450,2.9525,0.001587,2.3e-05
451,2.9575,0.001649,8.3e-05
452,2.9625,0.001643,0.000115
453,2.9675,0.001609,0.000118
454,2.9725,0.001596,9.6e-05
455,2.9775,0.001616,7.9e-05
456,2.9825,0.001534,7.3e-05
457,2.9875,0.001492,0.000108
458,2.9925,0.001533,6.2e-05
