,um,reflectance,uncertainty
491,3.1575,0.000161,6.9e-05
492,3.1625,0.000217,3.6e-05
493,3.1675,0.000239,5.7e-05
494,3.1725,0.000201,7.8e-05
495,3.1775,0.000129,3.6e-05
496,3.1825,0.000143,1.7e-05
497,3.1875,0.000211,4.7e-05
498,3.1925,0.000219,6.3e-05
499,3.1975,0.00027,0.000109
500,3.2025,0.000236,8.6e-05
501,3.2075,0.000223,8.6e-05
502,3.2125,0.000191,6.2e-05
503,3.2175,0.000187,5.9e-05
504,3.2225,0.000243,4e-05
505,3.2275,0.000256,5.3e-05
506,3.2325,0.000264,4.9e-05
507,3.2375,0.000208,4.4e-05
508,3.2425,0.000223,3.8e-05
509,3.2475,0.000266,5.2e-05
510,3.2525,0.000278,3.7e-05
511,3.2575,0.000328,5.9e-05
512,3.2625,0.000383,7.1e-05
513,3.2675,0.000396,7.5e-05
514,3.2725,0.00038,8.2e-05
515,3.2775,0.000334,1.8e-05
516,3.2825,0.000379,6.1e-05
517,3.2875,0.000437,0.000112
518,3.2925,0.000501,0.000104
519,3.2975,0.000527,9.3e-05
520,3.3025,0.000503,6.1e-05
521,3.3075,0.000448,0.000121
522,3.3125,0.000486,6.8e-05
523,3.3175,0.000507,4e-05
524,3.3225,0.000474,6.8e-05
525,3.3275,0.000483,6e-05
526,3.3325,0.00053,4.6e-05
527,3.3375,0.000546,5e-05
528,3.3425,0.000548,5.8e-05
529,3.3475,0.000575,4.7e-05
530,3.3525,0.000516,3.4e-05
531,3.3575,0.000501,1.2e-05
532,3.3625,0.000486,1.9e-05
533,3.3675,0.00053,5.8e-05
534,3.3725,0.000521,1.1e-05
535,3.3775,0.000478,4.6e-05
536,3.3825,0.000475,6.6e-05
537,3.3875,0.00059,3.9e-05
538,3.3925,0.000663,9.7e-05
539,3.3975,0.000615,5.3e-05
540,3.4025,0.000564,1.8e-05
541,3.4075,0.000597,4.8e-05
542,3.4125,0.000661,6e-06
543,3.4175,0.000643,7e-06
544,3.4225,0.000688,6.3e-05
545,3.4275,0.000701,0.000147
546,3.4325,0.000712,0.000126
547,3.4375,0.000783,7.9e-05
548,3.4425,0.000727,7.2e-05
549,3.4475,0.00077,4.8e-05
550,3.4525,0.000763,9e-05
551,3.4575,0.000678,2.4e-05
552,3.4625,0.000721,7.7e-05
