,um,reflectance,uncertainty
469,3.0475,0.002909,7.3e-05
470,3.0525,0.003049,0.000152
471,3.0575,0.002945,0.000144
472,3.0625,0.002876,6.5e-05
473,3.0675,0.002767,0.000147
474,3.0725,0.002752,9.1e-05
475,3.0775,0.002822,0.000112
476,3.0825,0.002888,0.000147
477,3.0875,0.003017,0.000147
478,3.0925,0.003089,6.6e-05
479,3.0975,0.003121,6.2e-05
480,3.1025,0.003186,8.1e-05
481,3.1075,0.003275,0.000129
482,3.1125,0.00325,4.9e-05
483,3.1175,0.003339,9.3e-05
484,3.1225,0.003186,9.9e-05
485,3.1275,0.002983,8.2e-05
486,3.1325,0.002908,0.000173
487,3.1375,0.002708,5.2e-05
488,3.1425,0.002753,2e-05
489,3.1475,0.002763,5e-05
490,3.1525,0.002719,7.6e-05
491,3.1575,0.002739,8.1e-05
492,3.1625,0.002768,8.8e-05
493,3.1675,0.002925,3.4e-05
494,3.1725,0.002925,9.3e-05
495,3.1775,0.002863,0.000127
496,3.1825,0.002955,0.00012
497,3.1875,0.002977,0.000211
498,3.1925,0.003004,0.00024
499,3.1975,0.002935,0.000144
500,3.2025,0.002999,2.4e-05
501,3.2075,0.002969,7.9e-05
502,3.2125,0.00297,0.00012
503,3.2175,0.002969,8e-05
504,3.2225,0.003012,3.4e-05
505,3.2275,0.002985,3e-05
506,3.2325,0.002919,2.8e-05
507,3.2375,0.003094,3.9e-05
508,3.2425,0.003096,9e-05
509,3.2475,0.003195,0.000181
510,3.2525,0.003303,0.00025
511,3.2575,0.00335,0.000168
512,3.2625,0.00328,8.3e-05
513,3.2675,0.003245,4.9e-05
514,3.2725,0.003281,0.000132
515,3.2775,0.003366,0.000173
516,3.2825,0.003305,3.9e-05
517,3.2875,0.003532,0.000166
518,3.2925,0.003656,7.6e-05
519,3.2975,0.003684,0.000137
520,3.3025,0.003612,0.000149
521,3.3075,0.003711,4.3e-05
522,3.3125,0.003928,0.00011
523,3.3175,0.004094,5.7e-05
524,3.3225,0.00417,8.8e-05
525,3.3275,0.004135,6.2e-05
526,3.3325,0.004129,8.3e-05
527,3.3375,0.004305,9.9e-05
528,3.3425,0.004134,0.00035
529,3.3475,0.004365,0.000136
530,3.3525,0.004369,5.1e-05
531,3.3575,0.004407,0.000125
532,3.3625,0.004472,0.000118
533,3.3675,0.004453,8.8e-05
534,3.3725,0.004463,0.00014
535,3.3775,0.004519,3.3e-05
536,3.3825,0.004636,6.7e-05
537,3.3875,0.004485,9.2e-05
538,3.3925,0.004464,6.9e-05
539,3.3975,0.004589,0.000119
540,3.4025,0.004725,4.1e-05
541,3.4075,0.004731,3.3e-05
542,3.4125,0.00463,0.00011
543,3.4175,0.004843,9.9e-05
544,3.4225,0.004955,0.000107
545,3.4275,0.005223,0.000227
546,3.4325,0.00528,0.000165
547,3.4375,0.005213,0.00017
548,3.4425,0.005157,0.000215
549,3.4475,0.00535,7.7e-05
550,3.4525,0.005595,0.000226
551,3.4575,0.005429,0.000202
552,3.4625,0.005172,0.000276
553,3.4675,0.005236,0.00016
554,3.4725,0.005366,0.000111
555,3.4775,0.005352,9.5e-05
556,3.4825,0.005319,4.1e-05
557,3.4875,0.005182,0.000218
558,3.4925,0.005331,0.000206
559,3.4975,0.005519,0.000102
560,3.5025,0.005302,5.5e-05
561,3.5075,0.005363,4.3e-05
562,3.5125,0.005471,5.3e-05
563,3.5175,0.005549,0.000121
564,3.5225,0.00553,0.00019
565,3.5275,0.005425,0.00026
566,3.5325,0.005283,7.4e-05
567,3.5375,0.005209,8.9e-05
568,3.5425,0.005115,0.000137
569,3.5475,0.005489,7.4e-05
570,3.5525,0.005434,0.000125
571,3.5575,0.005364,0.000124
572,3.5625,0.005361,8e-05
573,3.5675,0.005433,5.8e-05
574,3.5725,0.005371,5.4e-05
575,3.5775,0.005505,0.000104
576,3.5825,0.005524,0.000155
577,3.5875,0.005461,8.5e-05
578,3.5925,0.005525,7e-05
579,3.5975,0.005562,6.3e-05
580,3.6025,0.005531,0.000325
581,3.6075,0.005271,0.000244
582,3.6125,0.00554,0.000148
583,3.6175,0.005467,4.9e-05
584,3.6225,0.005465,0.000211
585,3.6275,0.005479,0.000274
586,3.6325,0.005395,0.000168
587,3.6375,0.005735,0.000136
588,3.6425,0.005841,0.000106
589,3.6475,0.006047,0.000107
590,3.6525,0.005913,0.000127
591,3.6575,0.005906,0.000164
592,3.6625,0.005709,0.000184
593,3.6675,0.005859,0.000109
594,3.6725,0.005419,0.000147
595,3.6775,0.00565,0.000183
596,3.6825,0.005315,9.8e-05
597,3.6875,0.005322,5e-05
598,3.6925,0.005481,0.00019
599,3.6975,0.005464,0.000242
600,3.7025,0.005244,0.0001
601,3.7075,0.005158,0.000241
602,3.7125,0.00539,4.2e-05
603,3.7175,0.005294,0.00011
604,3.7225,0.005238,0.000125
605,3.7275,0.005186,0.00016
606,3.7325,0.005185,4.6e-05
607,3.7375,0.005146,0.000242
608,3.7425,0.005207,0.000155
609,3.7475,0.005062,6.9e-05
610,3.7525,0.00508,0.000178
611,3.7575,0.005463,0.000289
612,3.7625,0.005352,0.000278
613,3.7675,0.005474,0.000155
614,3.7725,0.005349,0.000281
615,3.7775,0.005155,0.000269
616,3.7825,0.004833,0.000306
617,3.7875,0.005031,6.4e-05
618,3.7925,0.005102,5.9e-05
619,3.7975,0.00521,0.000125
620,3.8025,0.005204,0.000209
621,3.8075,0.005334,0.000134
622,3.8125,0.005096,0.00027
623,3.8175,0.004986,0.000235
624,3.8225,0.004721,0.000272
625,3.8275,0.004678,0.000193
626,3.8325,0.004905,0.000173
627,3.8375,0.004993,6.6e-05
628,3.8425,0.004872,0.000166
629,3.8475,0.004758,0.000224
630,3.8525,0.004702,0.000157
631,3.8575,0.004629,0.000114
632,3.8625,0.004734,0.000263
633,3.8675,0.004804,0.000243
634,3.8725,0.00498,0.000225
635,3.8775,0.004739,0.000157
636,3.8825,0.004879,0.000346
